"x","y"
"-3017.7988","-8471.237"
"-2659.0186","-1588.6636"
"-2689.2034","-1630.9078"
"-3615.9155","-3971.2153"
"0","0"
"-57.171497","-1416.7484"
"1009.855","-1006.568"
"2873.984","-1733.0037"
"1871.7379","-1755.0789"
"-2919.1445","-1501.8425"
"-3477.1506","-1330.3182"
"-683.58594","854.19495"
"-1854.3132","307.26724"
"-1927.2914","37.914997"
"10589.704","-31493.594"
"-1210.6848","-474.83163"
"-1210.6848","-474.83163"
"8293.961","-1663.8872"
"366.91925","-4341.852"
"-1253.3037","1693.0137"
"-1833.6329","122.21981"
"0","0"
"0","0"
"0","0"
"-70921","45373.254"
"-86703.31","34177.305"
"-9485.188","-1061.782"
"0","0"
"-3947.7522","-1387.0068"
"-3733.8628","-1511.8956"
"-5037.751","4264.3853"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"-148889.77","4358.605"
"-149020","4370.7607"
"-149028.48","5163.72"
"-148625.16","4523.0234"
"0","0"
"0","0"
"-9856","-1408"
"0","0"
"11768.67","4225.561"
"-10483.681","-2093.6743"
"2604.4194","-1753.9446"
"3910.7583","-1851.0596"
"3040.5356","-1807.7369"
"2873.984","-1733.0037"
"-4569.131","1392.6584"
"0","0"
"-8131.749","1059.1063"
"-3928.7268","3330.1946"
"-2910","-1580"
"2734.3481","-1312.015"
"2408.682","-1624.684"
"0","0"
"0","0"
"5155.843","-4833.071"
"551.9409","-829.8584"
"-2372.6875","502.90842"
"0","0"
"-52715.754","11569.354"
"-1139.0764","-248.44812"
"-2871.469","182.85593"
"12778.778","-10451.592"
"-3293.0703","-3510.6787"
"0","0"
"0","0"
"0","0"
"13573.19","-5078.587"
"0","0"
"-726.581","-409.1561"
"-2791.691","-922.1732"
"1639.0231","291.13763"
"4699.633","-1803.4146"
"4770.4565","-1651.334"
"0","0"
"-1223.0544","467.69522"
"0","0"
"-1357.215","-178.3479"
"-1357.215","-178.3479"
"-1575.3988","-895.91815"
"-2577.014","-1.3541842"
"-9206.946","-3349.3389"
"-87","-262"
"-87","-262"
"-87","-262"
"-87","-262"
"-2477.6978","-1256.6823"
"78.19388","-395.07407"
"-1181.3346","-48.60526"
"-1717.4529","-630.7492"
"-660.21564","-1105.6282"
"2117.5598","-1861.9595"
"2075.0903","-1982.0604"
"-3522.2468","-1041.5603"
"-1779.7334","-688.02875"
"-1877.06","-324.30072"
"-2371.8843","487.5908"
"-3298.994","-504.0099"
"-3125.1938","-504.01657"
"-2973.0066","-1088.5145"
"-1904.342","-5444.7812"
"-1810.5336","-4850.906"
"-1813.3412","-4656.47"
"-2910","-1580"
"-3219.9417","-1905.1327"
"2122.2344","-3732.5413"
"0","0"
"3038.423","-2127.7266"
"-3228.1782","-1417.6967"
"-140.39137","-1831.8772"
"3003.082","-1698.6633"
"2835.9172","-3879.69"
"-2066.2205","-4806.082"
"-2305.8623","-4509.221"
"-2133.2974","-4972.6484"
"-2782.2776","-1868.9471"
"-2198.6685","-1673.4684"
"971.9523","-3640.3767"
"845.44336","-3537.9597"
"383.8459","-3433.4246"
"-1994.9929","-4786.4043"
"5395.585","1711.203"
"3428.823","-1646.9255"
"3692.0803","-1574.5865"
"-1746.7173","1385.9438"
"-2840.8738","-110.78073"
"2650.39","-6396.888"
"2472.2917","-4694.2554"
"2421.5264","-5993.8584"
"1188.9354","-4536.8003"
"2439.4585","-3441.0706"
"-879.27576","-1262.5143"
"-3327.8542","-5528.977"
"-149208.42","8044.809"
"-208.56361","-217.84271"
"-887.7804","-113.33058"
"0","0"
"-1474.5914","1029.418"
"0","0"
"2199.1025","481.66486"
"2199.1025","481.66486"
"0","0"
"0","0"
"-10123.155","-2303.513"
"-10123.155","-2303.513"
"-10049.495","-1802.7493"
"-10049.495","-1802.7493"
"-8876.442","-1661.4943"
"-9558.744","-1865.4008"
"-10078.068","-1972.0432"
"-7909.753","-2121.2698"
"0","0"
"4440.106","-2169.536"
"264.91064","-1816.8473"
"-26.759436","-1726.1564"
"0","0"
"-2214.457","-1964.2201"
"-1125.7982","-75.650154"
"-1627.5074","171.9714"
"-14114.527","30454.797"
"-10977.477","32237.416"
"-18115.059","24621.188"
"-10982.493","32226.61"
"-13659.122","29177.02"
"-10982.493","32226.61"
"-13022.921","29120.197"
"-13633.096","28928.65"
"-13480.311","29160.236"
"46084.54","-73430.19"
"-21853.496","43187.375"
"-12182.375","131587.25"
"11494.247","19240.635"
"-8859.109","30798.605"
"28657.318","5630.9224"
"-7298.3545","31723.81"
"-9205.843","29114.238"
"-13393.23","29476.936"
"18813.87","-40870.293"
"-13102.106","28489.951"
"15481.115","-39358.62"
"23012.387","-7496.4165"
"21245.617","-41706.49"
"18761.861","-40831.215"
"-11359.934","24708.22"
"-11028.117","24710.896"
"20694.602","-41731.176"
"21592.625","-45367.965"
"18258.857","-40481.652"
"20765.635","-41472.57"
"31064.492","-48941.438"
"24382.672","5841.2485"
"11685.943","-36504.832"
"18580.377","-38271.85"
"25386.639","6118.4453"
"0","0"
"24645.713","5345.7783"
"26537.203","1479.2662"
"26537.203","1479.2662"
"24619.47","2069.455"
"26544.316","1458.9333"
"26535.002","1477.3938"
"8871.276","38716.418"
"26461.055","1542.1698"
"25261.945","1516.5739"
"26561.047","1480.1783"
"27187.059","2201.0603"
"-12193.205","29191.309"
"28578.883","5748.765"
"-12407.63","29791.654"
"10963.879","-20156.67"
"-4321.996","37395.066"
"4743.2793","9648.421"
"-5908.098","29656.947"
"-5908.098","29656.947"
"-5908.098","29656.947"
"-838.8453","200.10712"
"-1900.584","-211.37796"
"0","0"
"-1190.2452","-681.2172"
"0","0"
"0","0"
"-2719.207","-1702.2488"
"0","0"
"2062.824","-1603.5479"
"-2254.1353","-416.64023"
"-2836.684","269.7761"
"-3017.5378","1158.2131"
"-3658.2039","49.119083"
"3122.0886","-1564.7343"
"29047.842","-46862.086"
"9367.666","21554.887"
"-7231.0947","32829.785"
"-11415.678","26232.342"
"-42130.625","68489.96"
"-14922.124","24917.928"
"-16333.932","25346.656"
"-11440.967","127157.49"
"-11737.328","28396.111"
"-6888.7896","33062.914"
"-39327.42","64834.074"
"-6891.2666","33065.527"
"649.9152","35040.395"
"-7563.6626","32192.336"
"-14056.566","30717.168"
"-3279.052","36072.117"
"-3279.052","36072.117"
"-6788.9546","32110.197"
"-15159.025","78678.42"
"-19422.877","27917.375"
"-15236.368","27160.623"
"-6560.3154","32110.207"
"-5732.2705","38819.57"
"-8431.575","31024.586"
"-7650.748","32765.605"
"-3623.9805","39854.434"
"-16973.4","50729.94"
"-4429.135","34942.33"
"0","0"
"-12416.549","27360.953"
"-4616.9995","40382.965"
"-16426.602","26175.457"
"-13643.817","45657.402"
"-1224.7766","38415.156"
"-8996.434","41484.58"
"-15645.401","38756.934"
